Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Leonardo Bonucci,Centre-Back,30,17/18,Italy,Juventus,Serie A,Italy,AC Milan,Serie A,Italy,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39983-1448464012.jpg?lm=1
Thiago Silva,Centre-Back,27,12/13,Brazil/France,AC Milan,Serie A,Italy,Paris SG,Ligue 1,France,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/29241-1462893880.jpg?lm=1
Javier Pastore,Attacking Midfield,22,11/12,Argentina/Italy,US Palermo,Serie A,Italy,Paris SG,Ligue 1,France,€42.00m,False,https://img.a.transfermarkt.technology/portrait/medium/55215-1596030059.jpg?lm=1
Rui Costa,Attacking Midfield,29,01/02,Portugal,Fiorentina,Serie A,Italy,Milan,Serie A,Italy,€41.32m,False,https://img.a.transfermarkt.technology/portrait/medium/3624-1603456715.jpg?lm=1
João Cancelo,Right-Back,24,18/19,Portugal,Valencia,LaLiga,Spain,Juventus,Serie A,Italy,€40.40m,False,https://img.a.transfermarkt.technology/portrait/medium/182712-1615221629.jpg?lm=1
Tammy Abraham,Centre-Forward,23,21/22,England/Nigeria,Chelsea,Premier League,England,AS Roma,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/331726-1568646418.png?lm=1
Douglas Costa,Left Winger,27,18/19,Brazil,FC Bayern ,Bundesliga,Germany,Juventus,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/75615-1537176773.jpg?lm=1
Federico Bernardeschi,Right Winger,23,17/18,Italy,Fiorentina,Serie A,Italy,Juventus,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/197300-1594646310.jpg?lm=1
João Mário,Central Midfield,23,16/17,Portugal/Angola,Sporting CP,Liga NOS,Portugal,Inter,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/149729-1602774733.jpg?lm=1
Paulo Dybala,Second Striker,21,15/16,Argentina/Italy,US Palermo,Serie A,Italy,Juventus,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/206050-1541076083.jpg?lm=1
Hernán Crespo,Centre-Forward,27,02/03,Argentina/Italy,Lazio,Serie A,Italy,Inter,Serie A,Italy,€40.00m,False,https://img.a.transfermarkt.technology/portrait/medium/3410-1590391599.jpg?lm=1
Arturo Vidal,Central Midfield,28,15/16,Chile,Juventus,Serie A,Italy,FC Bayern ,Bundesliga,Germany,€39.25m,False,https://img.a.transfermarkt.technology/portrait/medium/37666-1502276644.jpg?lm=1
Gonzalo Higuaín,Centre-Forward,25,13/14,Argentina/France,Real Madrid,LaLiga,Spain,SSC Napoli,Serie A,Italy,€39.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39153-1618682679.jpg?lm=1
