Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Alessandro Bordin,Central Midfield,23,21/22,Italy,Spezia Calcio,Serie A,Italy,Fidelis Andria,Serie C - C,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/315844-1518698123.jpg?lm=1
Manuel Fischnaller,Centre-Forward,28,19/20,Italy,Catanzaro,Serie C-C,Italy,Südtirol,Serie C-B,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/102379-1604766447.jpg?lm=1
Mattia Maita,Central Midfield,25,19/20,Italy,Catanzaro,Serie C-C,Italy,Bari,Serie C-C,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/167470-1539356584.jpg?lm=1
Luca Parodi,Right-Back,24,19/20,Italy,Cittadella,Serie B,Italy,Ternana,Serie C-C,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/256688-1551292461.jpg?lm=1
Salvatore Caturano,Centre-Forward,27,17/18,Italy,Bari,Serie B,Italy,Lecce,Serie C-C,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/56898-1604745821.JPG?lm=1
Dan Berci,Left-Back,18,17/18,Romania,Juve Stabia,Serie C-C,Italy,Perugia U19,Primavera 2b,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Gianluca Di Chiara,Left-Back,22,16/17,Italy,Catanzaro,Lega Pro C,Italy,Perugia,Serie B,Italy,€200Th.,True,https://img.a.transfermarkt.technology/portrait/medium/189340-1613734678.jpg?lm=1
Mattia Montini,Centre-Forward,24,16/17,Italy,Monopoli ,Lega Pro C,Italy,Bari,Serie B,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/130368-1444628801.jpg?lm=1
Ledian Memushaj,Central Midfield,28,15/16,Albania,Lecce,Lega Pro C,Italy,Pescara,Serie B,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/139634-1594457151.png?lm=1
Raffaele Schiavi,Centre-Back,29,15/16,Italy,Frosinone,Serie A,Italy,Catania,Lega Pro C,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/28857-1608180118.jpg?lm=1
Raffaele Schiavi,Centre-Back,29,15/16,Italy,Catania,Lega Pro C,Italy,Salernitana,Serie B,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/28857-1608180118.jpg?lm=1
Manuel Fischnaller,Centre-Forward,22,14/15,Italy,Reggina,Lega Pro C,Italy,Südtirol,Serie C - A,Italy,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/102379-1604766447.jpg?lm=1
Giuseppe Carriero,Central Midfield,20,17/18,Italy,Casertana,Serie C-C,Italy,Parma,Serie B,Italy,€195Th.,False,https://img.a.transfermarkt.technology/portrait/medium/398576-1613236039.jpg?lm=1
