Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
David Hunt,Right-Back,28,10/11,England,Brentford,League One,England,Crawley Town,Conference,England,€50Th.,True,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Philippe Coutinho,Attacking Midfield,25,17/18,Brazil/Portugal,Liverpool,Premier League,England,Barcelona,LaLiga,Spain,€135.00m,False,https://img.a.transfermarkt.technology/portrait/medium/80444-1570373072.jpg?lm=1
Jack Grealish,Left Winger,25,21/22,England/Ireland,Aston Villa,Premier League,England,Man City,Premier League,England,€117.50m,False,https://img.a.transfermarkt.technology/portrait/medium/203460-1581417066.jpg?lm=1
Romelu Lukaku,Centre-Forward,28,21/22,Belgium/DR Congo,Inter,Serie A,Italy,Chelsea,Premier League,England,€115.00m,False,https://img.a.transfermarkt.technology/portrait/medium/96341-1596033546.jpg?lm=1
Eden Hazard,Left Winger,28,19/20,Belgium,Chelsea,Premier League,England,Real Madrid,LaLiga,Spain,€115.00m,False,https://img.a.transfermarkt.technology/portrait/medium/50202-1537861483.jpg?lm=1
Paul Pogba,Central Midfield,23,16/17,France,Juventus,Serie A,Italy,Man Utd,Premier League,England,€105.00m,False,https://img.a.transfermarkt.technology/portrait/medium/122153-1582114937.jpg?lm=1
Gareth Bale,Right Winger,24,13/14,Wales,Spurs,Premier League,England,Real Madrid,LaLiga,Spain,€101.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39381-1523876433.jpg?lm=1
Cristiano Ronaldo,Centre-Forward,24,09/10,Portugal,Man Utd,Premier League,England,Real Madrid,LaLiga,Spain,€94.00m,False,https://img.a.transfermarkt.technology/portrait/medium/8198-1626161872.jpg?lm=1
Harry Maguire,Centre-Back,26,19/20,England,Leicester,Premier League,England,Man Utd,Premier League,England,€87.00m,False,https://img.a.transfermarkt.technology/portrait/medium/177907-1520608280.jpg?lm=1
Jadon Sancho,Right Winger,21,21/22,England,Bor. Dortmund,Bundesliga,Germany,Man Utd,Premier League,England,€85.00m,False,https://img.a.transfermarkt.technology/portrait/medium/401173-1623778009.jpg?lm=1
Romelu Lukaku,Centre-Forward,24,17/18,Belgium/DR Congo,Everton,Premier League,England,Man Utd,Premier League,England,€84.70m,False,https://img.a.transfermarkt.technology/portrait/medium/96341-1596033546.jpg?lm=1
Virgil van Dijk,Centre-Back,26,17/18,Netherlands/Suriname,Southampton,Premier League,England,Liverpool,Premier League,England,€84.65m,False,https://img.a.transfermarkt.technology/portrait/medium/139208-1620651710.jpg?lm=1
Luis Suárez,Centre-Forward,27,14/15,Uruguay,Liverpool,Premier League,England,Barcelona,LaLiga,Spain,€81.72m,False,https://img.a.transfermarkt.technology/portrait/medium/44352-1453896733.jpg?lm=1
Kai Havertz,Attacking Midfield,21,20/21,Germany,Bay. Leverkusen,Bundesliga,Germany,Chelsea,Premier League,England,€80.00m,False,https://img.a.transfermarkt.technology/portrait/medium/309400-1620646226.jpg?lm=1
Nicolas Pépé,Right Winger,24,19/20,Cote d'Ivoire/France,LOSC Lille,Ligue 1,France,Arsenal,Premier League,England,€80.00m,False,https://img.a.transfermarkt.technology/portrait/medium/343052-1539166309.jpg?lm=1
Kepa Arrizabalaga,Goalkeeper,23,18/19,Spain,Athletic,LaLiga,Spain,Chelsea,Premier League,England,€80.00m,False,https://img.a.transfermarkt.technology/portrait/medium/192279-1447152155.jpg?lm=1
Kevin De Bruyne,Attacking Midfield,24,15/16,Belgium,VfL Wolfsburg,Bundesliga,Germany,Man City,Premier League,England,€76.00m,False,https://img.a.transfermarkt.technology/portrait/medium/88755-1626449012.jpg?lm=1
Ángel Di María,Right Winger,26,14/15,Argentina/Italy,Real Madrid,LaLiga,Spain,Man Utd,Premier League,England,€75.00m,False,https://img.a.transfermarkt.technology/portrait/medium/45320-1602849270.jpg?lm=1
