Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Benjamin Pavard,Right-Back,23,19/20,France,VfB Stuttgart,2. Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/353366-1570372796.jpg?lm=1
Ousmane Dembélé,Right Winger,19,16/17,France,Stade Rennais,Ligue 1,France,Bor. Dortmund,Bundesliga,Germany,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/288230-1561038993.jpg?lm=1
Mats Hummels,Centre-Back,27,16/17,Germany,Bor. Dortmund,Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39728-1540568020.jpg?lm=1
Renato Sanches,Central Midfield,18,16/17,Portugal/Sao Tome and Principe,Benfica,Liga NOS,Portugal,FC Bayern ,Bundesliga,Germany,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/258027-1624266892.jpg?lm=1
Leon Bailey,Left Winger,24,21/22,Jamaica,Bay. Leverkusen,Bundesliga,Germany,Aston Villa,Premier League,England,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/387626-1615896919.jpg?lm=1
Abdou Diallo,Centre-Back,23,19/20,Senegal/France,Bor. Dortmund,Bundesliga,Germany,Paris SG,Ligue 1,France,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/229005-1602849224.jpg?lm=1
Kerem Demirbay,Central Midfield,26,19/20,Germany/Turkey,TSG Hoffenheim,Bundesliga,Germany,Bay. Leverkusen,Bundesliga,Germany,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/125858-1599989095.jpg?lm=1
André Schürrle,Left Winger,24,14/15,Germany,Chelsea,Premier League,England,VfL Wolfsburg,Bundesliga,Germany,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/58205-1564761236.png?lm=1
Mats Hummels,Centre-Back,30,19/20,Germany,FC Bayern ,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€30.50m,False,https://img.a.transfermarkt.technology/portrait/medium/39728-1540568020.jpg?lm=1
Matheus Cunha,Centre-Forward,22,21/22,Brazil,Hertha BSC,Bundesliga,Germany,Atlético Madrid,LaLiga,Spain,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/517894-1599989718.jpg?lm=1
Donyell Malen,Centre-Forward,22,21/22,Netherlands/Suriname,PSV Eindhoven,Eredivisie,Netherlands,Bor. Dortmund,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/326029-1613231974.jpg?lm=1
André Schürrle,Left Winger,25,16/17,Germany,VfL Wolfsburg,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/58205-1564761236.png?lm=1
Heung-min Son,Left Winger,23,15/16,"Korea, South",Bay. Leverkusen,Bundesliga,Germany,Spurs,Premier League,England,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/91845-1599987413.jpg?lm=1
Douglas Costa,Left Winger,24,15/16,Brazil,Shakhtar D.,Premier Liga,Ukraine,FC Bayern ,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/75615-1537176773.jpg?lm=1
Manuel Neuer,Goalkeeper,25,11/12,Germany,FC Schalke 04,Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/17259-1540567890.jpg?lm=1
Mario Gómez,Centre-Forward,23,09/10,Germany/Spain,VfB Stuttgart,Bundesliga,Germany,FC Bayern ,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/6288-1563260524.jpg?lm=1
Franck Ribéry,Left Winger,24,07/08,France,Marseille,Ligue 1,France,FC Bayern ,Bundesliga,Germany,€30.00m,False,https://img.a.transfermarkt.technology/portrait/medium/22068-1540568847.jpg?lm=1
Naby Keïta,Central Midfield,21,16/17,Guinea,RB Salzburg,Bundesliga,Austria,RB Leipzig,Bundesliga,Germany,€29.75m,False,https://img.a.transfermarkt.technology/portrait/medium/302215-1503302375.jpg?lm=1
Abdou Diallo,Centre-Back,22,18/19,Senegal/France,1.FSV Mainz 05,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/229005-1602849224.jpg?lm=1
Medhi Benatia,Centre-Back,27,14/15,Morocco/France,AS Roma,Serie A,Italy,FC Bayern ,Bundesliga,Germany,€28.00m,False,https://img.a.transfermarkt.technology/portrait/medium/45124-1627654177.jpg?lm=1
Henrikh Mkhitaryan,Attacking Midfield,24,13/14,Armenia,Shakhtar D.,Premier Liga,Ukraine,Bor. Dortmund,Bundesliga,Germany,€27.50m,False,https://img.a.transfermarkt.technology/portrait/medium/55735-1515761398.jpg?lm=1
Ilkay Gündogan,Central Midfield,25,16/17,Germany,Bor. Dortmund,Bundesliga,Germany,Man City,Premier League,England,€27.00m,False,https://img.a.transfermarkt.technology/portrait/medium/53622-1519915654.jpg?lm=1
Diego,Central Midfield,24,09/10,Brazil/Italy,Werder Bremen,Bundesliga,Germany,Juventus,Serie A,Italy,€27.00m,False,https://img.a.transfermarkt.technology/portrait/medium/4248-1506074640.jpg?lm=1
Patrik Schick,Centre-Forward,24,20/21,Czech Republic,AS Roma,Serie A,Italy,Bay. Leverkusen,Bundesliga,Germany,€26.50m,False,https://img.a.transfermarkt.technology/portrait/medium/242086-1615896966.jpg?lm=1
Breel Embolo,Centre-Forward,19,16/17,Switzerland/Cameroon,FC Basel,Super League,Switzerland,FC Schalke 04,Bundesliga,Germany,€26.50m,False,https://img.a.transfermarkt.technology/portrait/medium/237662-1627997375.jpg?lm=1
Abdul-Rahman Baba,Left-Back,21,15/16,Ghana,FC Augsburg,Bundesliga,Germany,Chelsea,Premier League,England,€26.00m,False,https://img.a.transfermarkt.technology/portrait/medium/224884-1613846968.jpg?lm=1
Thorgan Hazard,Left Winger,26,19/20,Belgium,Bor. M'gladbach,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€25.50m,False,https://img.a.transfermarkt.technology/portrait/medium/102226-1599988904.jpg?lm=1
Nico Schulz,Left-Back,26,19/20,Germany/Italy,TSG Hoffenheim,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€25.50m,False,https://img.a.transfermarkt.technology/portrait/medium/85867-1615389612.jpg?lm=1
Márcio Amoroso,Centre-Forward,27,01/02,Brazil/Italy,AC Parma,Serie A,Italy,Bor. Dortmund,Bundesliga,Germany,€25.50m,False,https://img.a.transfermarkt.technology/portrait/medium/1263-1461310710.jpg?lm=1
Emre Can,Defensive Midfield,26,20/21,Germany/Turkey,Juventus,Serie A,Italy,Bor. Dortmund,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/119296-1567162394.jpg?lm=1
Julian Brandt,Attacking Midfield,23,19/20,Germany,Bay. Leverkusen,Bundesliga,Germany,Bor. Dortmund,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/187492-1615389334.jpg?lm=1
Jean-Philippe Gbamin,Defensive Midfield,23,19/20,Cote d'Ivoire/France,1.FSV Mainz 05,Bundesliga,Germany,Everton,Premier League,England,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/182894-1532594954.jpg?lm=1
